NAME,LAT,LONG
2 PNC PLAZA,40.441038,-80.000558
3 MELLON BANK CENTER,40.439150,-79.994340
4 KIDS CHILD CARE CENTERS HAWKINS,40.413372,-79.876538
A HOME AWAY FROM HOME,40.463491,-79.927241
A PLACE TO GROW CHILD CARE,40.493936,-79.860942
A PLACE TO GROW GAMMA DRIVE,40.501093,-79.861612
A W BEATTIE VO TECH,40.578777,-80.009009
A.E. O'BLOCK JUNIOR HIGH SCHOOL,40.472329,-79.712392
ABAY ETHIOPIAN CUISINE,40.459954,-79.925048
ABBEYVILLE APARTMENTS,40.368615,-80.036966
ABC'S AT FORBES ROAD CAREER AND VO TECH,40.441742,-79.742894
ABC'S FOR CHILDREN,40.398763,-80.065507
ABUNDANT BEGINNINGS,40.459430,-79.866776
ACADEMY TOWERS,40.382336,-80.044068
ADDISON TERRACE,40.441320,-79.976236
AIKEN ELEMENTARY,40.420908,-80.053351
AIRPORT PITTSBURGH INTERNATIONAL,40.495879,-80.256232
ALCOMA COUNTRY CLUB,40.480489,-79.803259
ALDI FOODS - BETHEL PARK,40.333633,-80.024074
ALDI FOODS - FOREST HILLS,40.415717,-79.847668
ALDI FOODS - FRIENDSHIP/SHADYSIDE,40.458131,-79.934565
ALDI FOODS - MCKEES ROCKS,40.464555,-80.058021
ALDI FOODS - MONROEVILLE,40.445828,-79.713845
ALDI FOODS - NORTH VERSAILLES,40.367982,-79.779800
ALDI FOODS - NORTHWAY MALL,40.551734,-80.021249
ALDI FOODS - PENN HILLS,40.464859,-79.828676
ALDI FOODS - SHALER,40.511600,-79.947445
ALDI FOODS - SOUTH SIDE,40.427350,-79.968012
ALLDERDICE HIGH SCHOOL,40.429433,-79.920240
ALLEGHENY ACADEMY,40.398785,-79.964607
ALLEGHENY CAMPUS CHILD DEVELOPMENT CENTE,40.450596,-80.013417
ALLEGHENY CENTER MALL,40.451155,-80.005261
ALLEGHENY CHILD CARE ACADEMY - DOWNTOWN,40.443940,-79.997789
ALLEGHENY CHILD CARE ACADEMY - MCKEESPORT,40.351834,-79.862217
ALLEGHENY CHILD CARE ACADEMY - UPTOWN,40.436733,-80.000799
ALLEGHENY COUNTY DEPT OF AGING,40.439424,-79.999121
ALLEGHENY COUNTY JAIL,40.436163,-79.995982
ALLEGHENY DWELLINGS,40.461105,-80.007538
ALLEGHENY ELEMENTARY,40.415337,-79.969551
ALLEGHENY GENERAL CHILD CARE CENTER,40.456906,-79.998866
ALLEGHENY GENERAL HOSPITAL,40.456674,-80.002809
ALLEGHENY MIDDLE SCHOOL,40.178816,-80.264370
ALLEGHENY STATION,40.448031,-80.017842
ALLEGHENY VALLEY HOSPITAL,40.616459,-79.736501
ALLEGHENY VALLEY RESIDENCE,40.603791,-79.752879
ALLENTOWN SENIOR CITIZEN CENTER,40.421853,-79.993453
ALLIANCE CHILD CARE CENTER,40.352009,-79.826392
ALUMNI HALL - UNIVERSITY OF PITTSBURGH,40.445573,-79.953179
ALVERN GARDENS,40.359460,-80.030549
ALZHEIMER CARE AND CONSULTING SERVICE,40.376562,-79.876652
AMBASSADOR APTS,40.443293,-79.866689
AMBERSON PLAZA,40.454150,-79.944483
AMBRIDGE (MERCHANT ST + 11TH ST),40.592997,-80.230798
AMBRIDGE AREA HIGH SCHOOL,40.593893,-80.226402
AMERICAN EAGLE OUTFITTERS AMPHITHEATER,40.445299,-80.013535
AMMON POOL,40.448960,-79.976608
AMTRAK STATION,40.443882,-79.992413
ANDY WARHOL MUSEUM,40.448793,-80.000807
ANGELS PLACE - BROOKLINE,40.392713,-80.024786
ANGELS PLACE - SWISSVALE,40.415441,-79.877506
ANGELUS CONVALESCENT CENTER,40.460324,-79.931426
ARDMORE SHOPPING PLAZA,40.415970,-79.848060
ARLINGTON ELEMENTARY,40.415874,-79.974784
