route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
020-154,1411-Collier-Weekday-25,1-1243461,Outbound-KENNEDY TO HERBST ROAD,0,020 -012,0200037
024-154,1411-Collier-Weekday-25,1-1243356,Outbound-WEST PARK TO MALL AT ROBINSON,0,024 -058,0240135
026-154,1411-Collier-Weekday-25,1-1243300,Outbound-CHARTIERS-ALLENDALE CRAFTON-INGRAM SHOPPING CENTER,0,026 -067,0260032
026-154,1411-Collier-Weekday-25,1-1243450,Outbound-CHARTIERS-ALLENDALE CRAFTON-INGRAM SHOPPING CENTER,0,026 -074,0260032
027-154,1411-Collier-Weekday-25,1-1243307,Outbound-FAIRYWOOD CRAFTON-INGRAM SHOPPING CENTER,0,026 -076,0270023
029-154,1411-Collier-Weekday-25,1-1243252,Outbound-ROBINSON TO DOWNTOWN,0,029 -100,0290022
036-154,1411-Collier-Weekday-25,1-1243390,Outbound-BANKSVILLE SOUTH HILLS VILLAGE,0,036 -139,0360012
G31-154,1411-Collier-Weekday-25,1-1243444,Outbound-BRIDGEVILLE FLYER TO S FAYETTE PARK-AND-RIDE,0,039 -204,G310025
048-154,1411-Collier-Weekday-25,1-1243573,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -273,0480093
039-154,1411-Collier-Weekday-25,1-1243420,Outbound-BROOKLINE,0,039 -199,0390033
G31-154,1411-Collier-Weekday-25,2-1243425,Outbound-BRIDGEVILLE FLYER TO S FAYETTE PARK-AND-RIDE,0,G31 -341,G310025
G31-154,1411-Collier-Weekday-25,3-1243443,Outbound-BRIDGEVILLE FLYER TO S FAYETTE PARK-AND-RIDE,0,G31 -343,G310025
039-154,1411-Collier-Weekday-25,4-1243416,Inbound-BROOKLINE TO DOWNTOWN-PENN STATION,1,039 -184,0390028
039-154,1411-Collier-Weekday-25,6-1243415,Inbound-BROOKLINE TO DOWNTOWN-PENN STATION,1,039 -185,0390028
039-154,1411-Collier-Weekday-25,7-1243405,Inbound-BROOKLINE TO DOWNTOWN-PENN STATION,1,039 -186,0390028
039-154,1411-Collier-Weekday-25,8-1243397,Inbound-BROOKLINE TO DOWNTOWN-PENN STATION,1,039 -187,0390028
039-154,1411-Collier-Weekday-25,18-1243357,Inbound-BROOKLINE TO DOWNTOWN-PENN STATION,1,039 -190,0390028
044-154,1411-Collier-Weekday-25,43-1243338,Outbound-KNOXVILLE TO ST CLAIR,0,044 -250,0440099
044-154,1411-Collier-Weekday-25,52-1243336,Outbound-KNOXVILLE TO ST CLAIR,0,044 -251,0440099
044-154,1411-Collier-Weekday-25,62-1243337,Outbound-KNOXVILLE TO ST CLAIR,0,044 -252,0440099
044-154,1411-Collier-Weekday-25,72-1243338,Outbound-KNOXVILLE TO ST CLAIR,0,044 -250,0440099
044-154,1411-Collier-Weekday-25,83-1243336,Outbound-KNOXVILLE TO ST CLAIR,0,044 -251,0440099
044-154,1411-Collier-Weekday-25,93-1243337,Outbound-KNOXVILLE TO ST CLAIR,0,044 -252,0440099
044-154,1411-Collier-Weekday-25,100-1243565,Outbound-KNOXVILLE TO ST CLAIR,0,044 -253,0440099
044-154,1411-Collier-Weekday-25,106-1243523,Outbound-KNOXVILLE TO ST CLAIR,0,044 -254,0440099
